intersection,mean_volume,std_volume,peak_morning,peak_evening,weekend_ratio,rain_effect,wind_corr,cluster
운동장4,1553.3660958904109,1091.569032087779,2040.4228310502283,1925.5187214611872,0.9284729704102078,0.9673168166909851,0.3188456605040845,0
원형육교4,2906.3529680365295,1994.44371876033,4075.909589041096,4665.485844748859,0.8287709171305161,1.0010221713525496,0.356322687354434,1
이수(3산업)4,2843.282305936073,2012.864658672175,3906.310502283105,3619.069406392694,0.8569483337825456,1.0150896711815502,0.2911624029935845,1
인쇄창4,2392.970319634703,1361.9617985335772,3140.5004566210046,3499.228310502283,0.9207308101640562,0.9650901880497418,0.3468180724756658,1
일봉산4,2848.668835616438,1796.764848943489,3880.302283105023,4299.418264840183,0.8569631468640639,0.9541906664371,0.37980441076263183,1
일봉회관4,1782.475,1235.8280444382774,2671.353424657534,2717.8931506849317,0.8271238051873979,0.9531826635554456,0.37116648570238986,0
저리교차로,1282.5514469453376,901.1585382200423,2075.743837084673,2087.0707395498393,0.7219758520634196,0.9200370509176239,0.3140641596960432,0
주공6단지4,1123.5462328767123,619.2400574931874,1385.4301369863015,1684.964383561644,0.8800945019646849,0.9764023790426232,0.3497445357302421,0
차돌길3,1207.6955479452056,774.5871009536953,1687.9817351598174,1764.8036529680364,0.8375629382474913,0.9581058152345667,0.37352919256066053,0
천고4,1188.73299086758,803.2586497042246,1561.0310502283105,1821.4977168949772,0.8838483588329086,1.0058462360089466,0.371677994269976,0
천안대로4,3213.905707762557,1920.1892862069842,4256.608219178082,4792.248401826484,0.9052563321056152,0.910253249816986,0.37821858096651717,1
청당동입구4,2536.266666666667,1698.2475735946382,3522.4584474885846,3891.3817351598173,0.875861049803184,0.9634094155878373,0.38815099501396244,1
청삼4,1812.6682648401827,1434.6351160479544,2575.0502283105025,2681.014611872146,0.9141351794202102,1.0026384872348488,0.3904603665242005,1
청솔4,1431.334817351598,887.0672401239108,1890.5132420091325,2215.9150684931506,0.8590436313311249,0.9827193660944485,0.37545584310237357,0
충무로4,1632.612100456621,1161.8287628561895,2301.276712328767,2483.5634703196347,0.8420973856782814,0.8363249650765582,0.3558699758749967,0
터미널4,1357.477283105023,1272.8108403310453,1663.7433789954339,1978.959817351598,0.9722366804963481,1.2290987686615045,0.18361498215274777,0
하신3,2701.0599315068494,1742.4214097534636,3810.7662100456623,4137.8949771689495,0.8756915383738172,0.9538346967838732,0.3596837390582156,1
한들사거리,2753.2887191854234,1631.3989978480397,3677.7181136120043,4196.247588424438,0.8444376311263766,0.9401035094020563,0.3661734804091152,1
한방병원삼거리,1779.3602625937835,991.559029183372,2230.722400857449,2740.8006430868168,0.8748741143256834,0.9119874992934909,0.37155517994677023,0
